expt_version,subjID,is_test,is_control,instruction_completion_time,expt_start_ts,expt_end_ts
1,user_1573681812685,False,False,40764,1573681812685,1573682227185
1,user_1573678265178,False,False,60948,1573678265178,1573679034055
1,user_1573681828983,False,True,42349,1573681828983,1573682578126
1,user_1573682158469,False,False,40422,1573682158469,1573683174914
1,user_1573664448979,False,False,56797,1573664448979,1573665137116
1,user_1573668338160,False,True,60981,1573668338160,1573669320757
1,user_1573678369310,False,True,40979,1573678369310,1573679589786
1,user_1573678954991,False,True,21425,1573678954993,1573679478712
1,user_1573683140886,False,False,44850,1573683140887,1573684020923
1,user_1573678145931,False,False,20205,1573678145931,1573679098440
1,user_1573664082430,False,False,40675,1573664082431,1573664969835
1,user_1573678642909,False,True,50795,1573678642909,1573679393363
1,user_1573668073513,False,False,33411,1573668073513,1573669093145
1,user_1573668222017,False,False,429934,1573668222017,1573669696432
1,user_1573668320610,False,True,44066,1573668320611,1573669029463
1,user_1573682233340,False,True,69894,1573682233341,1573682914863
1,user_1573664238101,False,True,30455,1573664238101,1573664723673
